Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,1,,,,,Week,1,,,,,Week,1,,,,,Week,1,,,,,Week,1,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,9,,,,,Week,9,,,,,Week,9,,,,,Week,9,,,,,Week,9,,,
Date,January/26/2026,,,,,Date,January/27/2026,,,,,Date,January/29/2026,,,,,Date,January/30/2026,,,,,Date,"Feb 1, 2026",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-17.64lbs,1,8,,,Leg Press,242.508,1,10,2425,,Decline Cable Press,90lbs,1,10,,,Romania Dead Lifts,70lbs,1,10,,,6:45/km,33:45:00,6.5km,45:30:00,7:00/km
,-17.64lbs,2,7,,,,242.508,2,9,2182.5,,,90lbs,2,9,,,,70lbs,2,10,,,,,,,
,-17.64lbs,3,6,,,,242.508,3,10,2425,,,90lbs,3,9,,,,70lbs,3,10,,,,,,,
Incline Bench Press Machine,110lbs,1,8,,,Hip Thrust,198.416,1,10,1984,,Straight Arm Pulldown,70lbs,1,10,,,Leg Press,190lbs,1,10,,,,,,,
,110lbs,2,8,,,,198.416,2,10,1984,,,70lbs,2,10,,,,190lbs,2,10,,,,,,,
,110lbs,3,6,,,,198.416,3,10,1984,,,70lbs,3,10,,,,190lbs,3,10,,,,,,,
Shoulder Press Machine,55lbs,1,10,,,Leg Curls,110lbs,1,10,1100,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,110lbs,1,10,,,,,,,
,55lbs,2,10,,,,110lbs,2,10,1100,,,30lbs,2,10,,,,110lbs,2,10,,,,,,,
,55lbs,3,10,,,,110lbs,3,10,1100,,,30lbs,3,10,,,,110lbs,3,10,,,,,,,
Wide Grip Cable Rows,95lbs,1,10,,,Abductor Machine,176.37,1,10,1763,,Reverse Fly Machine,55lbs,1,10,,,Machine Ab Crunches,50lbs,1,10,,,,,,,
,95lbs,2,10,,,,176.37,2,10,1763,,,55lbs,2,10,,,,50lbs,2,10,,,,,,,
,95lbs,3,8,,,,176.37,3,10,1763,,,55lbs,3,10,,,,50lbs,3,10,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,80lbs,1,10,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,80lbs,2,10,,,,body wieght,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,80lbs,3,10,,,,body wieght,3,10,,,,,,,
Tricep Pushdown,80lbs,1,10,,,,,,,25105.304,,Preacher Curls Dumbbell,40lbs,1,10,,,,,,,,,,,,,
,80lbs,2,10,,,,,,,,,,40lbs,2,10,,,,,,,,,,,,,
,80lbs,3,10,,,,,,,,,,40lbs,3,10,,,,,,,,,,,,,
Hammer Curls,40lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper A,,,,,,Lower A,,,,,,Upper B,,,,,,Lower B,,,,,,Jogging,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week,10,,,,,Week,10,,,,,Week,10,,,,,Week,10,,,,,Week,10,,,
Date,February/02/2026,,,,,Date,February/03/2026,,,,,Date,February/05/2026,,,,,Date,February/06/2026,,,,,Date,"Feb 8, 2026",,,
Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,Lift Performed,Weight (kg/lbs),Set,Reps,,,5K Avg Pace,5K Runtime,Total Run Distance,Total Run Time,Total Run Avg Pace
Assisted Pull Up Machine,-17.64lbs,1,8,,,Leg Press,242.508,1,10,2425.08,,Decline Cable Press,90lbs,1,10,,,Romania Dead Lifts,70lbs,1,10,,,6:12/km,31:00:00,5k,31:00:00,6:12/km
,-17.64lbs,2,8,,,,242.508,2,10,2425.08,,,90lbs,2,10,,,,70lbs,2,10,,,,,,,
,-17.64lbs,3,8,,,,242.508,3,10,2425.08,,,90lbs,3,10,,,,70lbs,3,10,,,,,,,
Incline Bench Press Machine,110lbs,1,9,,,Hip Thrust,198.416,1,10,1984.16,,Straight Arm Pulldown,70lbs,1,10,,,Leg Press,190lbs,1,12,,,,,,,
,110lbs,2,8,,,,198.416,2,10,1984.16,,,70lbs,2,10,,,,190lbs,2,12,,,,,,,
,110lbs,3,7,,,,198.416,3,10,1984.16,,,70lbs,3,10,,,,190lbs,3,12,,,,,,,
Shoulder Press Machine,55lbs,1,10,,,Leg Curls,110lbs,1,10,1100,,Lateral Dumbbell Raises,30lbs,1,10,,,Leg Curls,110lbs,1,12,,,,,,,
,55lbs,2,10,,,,110lbs,2,10,1100,,,30lbs,2,10,,,,110lbs,2,12,,,,,,,
,55lbs,3,10,,,,110lbs,3,10,1100,,,30lbs,3,10,,,,110lbs,3,12,,,,,,,
Wide Grip Cable Rows,95lbs,1,10,,,Abductor Machine,176.37,1,10,1763.7,,Reverse Fly Machine,55lbs,1,10,,,Machine Ab Crunches,50lbs,1,15,,,,,,,
,95lbs,2,10,,,,176.37,2,10,1763.7,,,55lbs,2,10,,,,50lbs,2,12,,,,,,,
,95lbs,3,10,,,,176.37,3,10,1763.7,,,55lbs,3,10,,,,50lbs,3,13,,,,,,,
Lateral Dumbell Raises,30lbs,1,10,,,Calf Raises,Body Weight,1,10,1177.268,,Over Head Tricep Extensions,80lbs,1,10,,,Vertical Leg Raises,body wieght,1,10,,,,,,,
,30lbs,2,10,,,,Body Weight,2,10,1177.268,,,80lbs,2,10,,,,body wieght,2,10,,,,,,,
,30lbs,3,10,,,,Body Weight,3,10,1177.268,,,80lbs,3,10,,,,body wieght,3,10,,,,,,,
Tricep Pushdown,80lbs,1,10,,,,,,,25350.624,,Preacher Curls Dumbbell,40lbs,1,10,,,,,,,,,,,,,
,80lbs,2,10,,,,,,,,,,40lbs,2,10,,,,,,,,,,,,,
,80lbs,3,10,,,,,,,,,,40lbs,3,10,,,,,,,,,,,,,
Hammer Curls,40lbs,1,10,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,2,10,,,,,,,,,,,,,,,,,,,,,,,,,
,40lbs,3,10,,,,,,,,,,,,,,,,,,,,,,,,,
